text,label
እዚያው እየተላላክ ዳቦህን ብላ። ምነው ሠፊ ነው ካልክ ሀገር ቤት ሂደህ የወትሮ ሥራህን አልሰራህ ታዲያ?,1
የበረራ እቅድ አላ ልዟይተ ልካአ ህድቅእየ ምን እያደረገልኝ ነው ውወተ,0
የምን ጠላ ጠላ ፥ የምን ጠጅ ጠጅ ጠላትን መጋበዝ ፥ ቡን አርጎ ነው እንጅ ! ወደ ርዕሰ ከተማዋ ሲዘልቁ ቡና እንጋብዛለን ለማለት ነው :-,0
ይመስገን ዞላ ምርመራው ላይ አለበት,0
ተራ ያልተማረ ደደብ ፋሽስት ያንተው ቅል ራስ መለስ መሆኑን አለማወቅህ ያሳዝናል,1
አዴፓን አትመን፤የሴራው አካል ናቸው። ትኩረታቸው አሁንም ህወሃት እና የትግራይ ህዝብ ነው። ጉዳዩን አዙረው አክረው ወደ ህወሃት የማነጣጠር ነው፡ የወሬው ቅኝት።,1
በማንነታቸው ብቻ ተለይተው የተጨፈጨፉ አማሮችን ሽፋን ላለመስጠት አንድ ሴት ነብስ አተረፈች ብሎ ያዙኝ ልቀቁኝ በጣም ያሳዝናል አቁሙ ታስጠላላቹ ማፈሪያዎች ?? ሞት ለህወሓት ሞት,1
ኢትዮጵያን የሚለው እርሶን ከጨመረ ቀጣይ መከራከር አያስፈልገንም ?? ስለራስዎ ብቻ መስክረዋል አይጨምርም ካሉ,0
4/ አብረው ያለሙም፣ ያጠፉም መሪዎቻችን ህዝብን በሁለት ጎራ አቧድነው እንዲህ እንደ አረመኔ አገር ሲያባሉት ትክክል አይደለም ብለን የተሟገትን ማንኛችን ነን? ከጥፋት ያላበረ፣ በስ,0
እነዚህን ፀረ አማራና ኢትዮጵያ ሰዎች በብዛት እጩ ታደርግ እና አንድ እና ሁለት መልካም ሰዎች ማጣፈጫ ጣል ታደርጋላችሁ።ማንንም አትሸውድም ግደሉን ጨርሱን ኢትዮጵያ,1
በባለፈው ስብሰባችሁ በትግራይ ምስክኖች ስም ከተሰበሰበው ስንቱን ልትልኩ አሰባችሁ?ነው ወይስ ሁሉንም ልትቀረጥፉት ነው? ለነገሩ ጁንታው የለ ማን ያስለመድከው,1
እረ እንቺ ሴትዮ ዝም ብለሽ የማንም ወያኔ የሚበጠረቀውን እንደ ውነት ይዘሽ አትጩሂ,1
የደብረፂን ንግግር ሰማሁት። ኩርምት ብሏል ጋዜጠኞቹም ኩርምት ብለዋል። በጠቅላላው ያች ጠባብ ኮንቴይነር ለቅሶ ቤት ነው የምትመስለው,1
ጦርነት ላይ ማንም ሊጐዳ ይችላል:ተዉ ለምን አትሏቸዉም ነበር :ጁንታዎቹን,1
እንደውም ተነስቼ ብተኛ ይሻለኛል የሚሉም አሉ አሉ ??,0
የቡብልፅግናን ስም ለማጥፋት ተራ ቅጥረኞች የሚተውኑት የባንዶች ሴራ ነው። ወይም አንተ ራስህ በጥላቻ ስሜትህ የፈጠርከው ተራ ውሸት ነው,1
አባት ነህ አሉ ያውም የሶሰት ሴት . አንዷን ለቁርስ አንዷን ለምሳ ለምን . ጥሬ ቆልቶ በላ . ለምን እሸት አበላን ብለው ሲያነዱት ከዳር ሁነህ በግዛ,1
በከተማ እሚኖረው ትልቁ አሳማ በጫካ እሚኖሩትን ትንንሽ ኣሳማ ዘመዶቹን ለመጠየቅ ሄደ ነው እሚባለው አንተ ጅል,1
በየዋህ ልብ ካሰብክ ? Yeah! መደበኛ ትምህርት መሆኑ ግን የ የዋህነቴን ቆሌ ገፍፎታል!,0
11128 ቀን አለፋቸዉ በትግራይ ባዶ ስድስት እስር ቤት የታሸጉት የኢሕአፓ አመራርና አባላት እነ ፀጋዬ ገብረ መድህን ይስሃቅ ደብረፅዮን በለጠ አመሃ ስጦታው ሁሴን ኢንጅነር አይነኩሉ,0
ወያኔን የሚያጠፋው ደግሞ ኢትዮጵያን ነጻ ለማውጣት ነው ጨምርበት መሊጦ,1
የመርህ ሰው! ግራ የሚገባኝ ስህተት መስራት አለመቻሉ ነው። ትዝ ይለኛል ለምን እስክንድርን ተቸ ተብሎ መንጋው ሲወርድበት። ግን ማን ስህተት እንደሆነ ለማወቅ ብዙ አልቆየም!,1
ክብር ይገባሐል መከላኪያችን ላገር ለወገንህ በደምህም አኮርራህን ሁሌም ላንረሣህ አለህ ከልባችን!!!,0
መፍትሄው የሚከፈለውን ዋጋ ከፍሎ ወያኔን ላንዴና ለመጨረሻ ጊዜ መቃብር ማውረድ ነው።,1
ባልየው ቢሰማሽ . አንቺ ባለጌ ያን የመሰለ ኒፕል አ ት ይደረጋል እንጂ ምናምን ነበር የሚልሽ,1
ዛሬም ነገም እስከወዳኛው ከመከላከያ ጎን ነን እናንተ የከዳችሁት የኢትዮጵያ ጠላት ይውደም,0
ስለ 318ቱ ቅዱሳን ሊቃውንት እና ዛሬ ታስበው ስለሚውሉት ቅዱሳን ብለህ #ሰላም_እና_ፍቅርን_አድለን አምላከ ቅዱሳን።,0
እናንተ ብትክዱትም የአለም ህዝብ ብቻ ሳይሆን ያ ጁንታው ያጠፋሃል ይገልሃል ብላችሁት የነበረው ህዝብ ሁሉ የአማራ ክልልን ጨምሮ እየመስከረላቸው ይገኛል። የትግራይም ሃይል ለዚህ ሁ,1
ኢትዮጵያውያን ወገኖቼ እኛ እኮ ለወራሪወች ለገዳዮች ለከፋፋዮች እሣትና ሬት፣ ለወዳጆቻችን ማር፣ለጦርነትም አይበገሬ ነን አትጠራጠሩ ድል የመከላከያ ሠራዊት የአማራ ል ሀይል ሚሊሻና,0
ይመቸኛል፣ ግን አንተ ስትግጥ ማን ሊጠብቅህ ነው?,0
አልደክምም ቃሌ ነው እያልኩኝ ፎክሬ ያንን ጉራ ሁላ (ያን ጉራ) ቀን አራደው ዛሬ ያን ጉራ ሁላ ጉራ ሁላ ያን ጉራ ሁላ ትታ ነፍሴ ወኔዬ ከዳኝ ወንድነቴ ወድቆ ጨነቀኝ ኩራቴ,0
ስለዚህ አንድ ሰው ትንሽ ለየት ያለ አስተያየት ካለው ሞኝ ነው ማለት ነው? እንደዚያ የሚያስቡ ከሆነ ጉረኛን ከእኔ ጋር መገናኘትዎን እንዲያቆሙ እመክራለሁ,1
#እንዳትቆም እዳትሰንፍ በርታ ዛሬ ባይሆንልም ነገ ሌላ ቀን እደሆነ አትርሳ #ማንም እዳይሳካል #ቢመኝ ማንም ወደዋላ ሊያስቀህ ቢፈልግ አታማርር በቀሎች የሚያረካው ስኬት ነውእና !!!,0
ግን ባለ እንጀራን እንደዚህ መውደድ ይቻል ይሆን?? የትዕዛዙ ክብደት እየታኝ ነው,0
አይ ማሃይም የምኒልክ ቡችላ ትግራዋይ ጅግና ነው በድርቡ ቅዘን በቅዘን ሁነህ ላንተ ለማዳን ሴራኛው ምኒልክ ከሃላ ወጋው ትግራዋይ ጅግና ነው እንደ ሃይለ,1
ያውም ገለባውን ትተን ወደውስጥ ካየነው የሚያስቀና አንድ ህዝብ ነን! ከነገ ወዲያ የማይታያቸውን አትስሟቸው ቅርብ አልመው ቅርብ ሊያወርዱዋቹ ነው! ብሩህ ተስፋ ላላችው ብቻ!,0
ለትግራይ አታስብ በትግራይ ስም አትነግዱ እኛ ተጋሩ አለን እናተ አዝናችሁ ነው የትግራይ እናት ደም ስፈስ የጁንታው እናት ያልክ ሁሉ,1
በቲቪ አይቼዉ ስስቅ ነበረ። ቪድዬዉን ፍለጋ ላይ ነኝ,0
አሸባሪውና አረመኔው ወያነህወሓት መከላከያው ላይ በፈፀመው አረመኔያዊ ድረጊት ቅጣቱን ያገኝ ዘንድ የቀረው ጥቂት ቀን ነው። በዚህ የሚሸበር ካ,1
ከተላላኩነት አውጥቶ ቤተ መንግስት ላስገባህ ሰው ውለታው እድህ ነበር ወይ?,0
የአድዋን ታሪክ ትደግማለህ ተነስ እያለ ዶ/ር ደብረ ፅዮን ለመቀሌ ነዋሪዎች ጥሪ ሲያቀርብ :ያላስተዋለው ቁም ነገር :በአድዋ ላይ የተደረገው ጦርነትና የተገኘው ድል በመላው የኢት/ሕዝብ ሲሆን :,1
ደደብ አምላክ ፣ እኔን ለመሆን እየሞከረ . ሉሲፈር !! ቁጥሬን ደውልልኝ .,1
ተፈራረምክ አሉ ከአሸባሪዎች ጋር ልትሰራላቸው ለገዳዮች መንደር እህዝ ተፈናቅሎ ጎዳና ተጥሎ ህጻን አዛውንቱ የትም ተበትኖ ላሸባሪዎቹ ድጋፍ ትሰጣለህ የሚጮኸውንህ,1
እንደራሳቸው መስሏቸው መንግስት አስመልጧቸው ያፋልጋል እያሉ ሲተረተሩ የነበሩ ምን ይሉ ይሆን ? አልኩና መልሼ እነሱ አያልቅ,0
በአፍሪካ ልውጥ የኮሮናቫይረስ ዝርያዎች ወረርሽኝ ሊያገረሽ ይችላል - -,0
ይህን የካንሰር አጫሪ ስጋ። ስለ እሱ ሁሉንም ነገር እጠላለሁ ። እርሱ እና መላው ቤተሰቡ ወደ ሆስፒታል እስኪደርሱ ድረስ እንደሚሮጡ ተስፋ አደርጋለሁ ስለዚህ እኔ በግሌ መጥቼ አሳዛኝ,1
ሰውን ለመርዳት ቅን ልብ ያለውን ሰው እግ/ር ይጠብቀዋል፡፡ቆርቆሮ ብርቃቹ ነው ስትሞቱ ተገነዙበት ምድረ አረመኔ!,1
ሶሻል ሚዲያ ላይ ዳንኪራ ውጤት አያስገኝም ብሉዋል ጁንታው አብይ! ሀሞት ካለ ታጥ,1
ግዜ ለኩሉ በተራችሁ ወጣችሁ ጩሁ ማፈሪያዎች,1
በግድቡ ዙሪያ የመደራደር የዋሽንግተን ግፊት በዶናልድ ትራምፕ መሸነፍ ተነስቷል:: #Ethiopia ግድቡን መጨረስ ነው እንግዲህ!,0
አንዳንዴ ሳትኖር የምትሞትበት ፤ አንዳንዴ ደግሞ ሞተህም የምትኖርበት ጊዜ አለ ። #አንበሳው_ፋኖ ?? . #ሒዊ,0
አብን ከባልደራስ ጋር አብሮ ለመስራት መስማማቱን የማይፈልጉ የአንድነት ካምፕ ሊቀ ቂሎች ብልፅግና ከኦነግ ጋር እንደሚሰራ ማመን አይፈልጉም።,1
ጁንታው እስስት ነው፣ መልክ ይቀያይራል የቄስ ካባ ለብሶ፣ ጥይት ያሳልማል ህዋሃት ሳሙናው፣ ሙልጭ ሙልጭ ይላል መቼ እንደ ጀግና፣ ፊት ለፊት ይዋጋል,1
only super smart ሴረኛ ያሸንፋል፡፡ በነገራችን ላይ የዛሬዋ መግለጫ አላማ አላት ፡፡ በቅርቡ ሚዘለውን ሰው ሁሉ ልክ እንደ እነ ጃዋር ልካቸውን ያስገቡቷል,1
አንድ ሰካራም ሰውዬ አስታወስከኝ . ሁሌ በሰከረ ቁጥር እንዲህ ይል ነበር.ሚስቱን አንቺ ፈረንጅ ነሽ አላቅሽም ብሎ ይወተውታት ነበር ልብህን እና ጭንቅላትህን ተጠቅመህ ብትናገር እንዴት ጥሩ ነበር.!,1
ጥብቅ መረጃ - ባንዳው ተጋለጠ ኢትዮጵያዊው የባይደን ቁልፍ ሰው በኢትዮጵያ ላይ የሸረበው አ-ስ-ደ-ን-ጋ-ጭ ሴ . via ,1
አዪ እሱ ብቻ መቸ ሆነ ብለህ/ሽ ነዉ።,0
በኦሮሚያ ክልል አማራወች አሁንም በኦነግ ታጣቂ እየተገደሉ ነው። በሆሮጉድሩ ወለጋ አማራ በመሆናቸው እየተገደሉና እየተፈናቀሉ ነው። የአማራ የጅምላ ጭፍጨፋ በኦሮሚያ የሚቆመው መቸ ነ,1
#Tplf ለሁለትኛ ግዜ #Ethiopian እየተዋጋው ነው። የእትዮጵያ ህዝብ ግን አሁን አተርፈው ለ3ኛ ግዜ እድል የሚሠጠው ከሆኔ ከውርደትም የመጨረሻ ውርደት ነው።,1
ማንም ጠላት የለኝም የገዛ ጠላቴ አላርሜ ነው????,0
ጩጬ ሆኜ ልጣላ ስል ቦክስ.እርግጫ . ማፍረጥ የሌለው ከሆነ ነው ምጣላው ኢሄን ያህል ፈሪ ነኝ,0
አወ አንድም እናት አታለቅስም ተብሎ ነበር ድፍን የኢትዮጵያ እናት እያለቀሰች ነዉ!,0
ህጂ ምኒሊክን ጠይቂው ባንዳነት በደንብ ምን እንደሆነ ያስረዳሻል ኤርትራ እንዴት ለጣልያን እንደተሸጠ ጁቡቲን እንዴት,1
ከፍትፍቱ ፊቱ የሚለዉን አባባል በእንግሊዘኛ ንገረኝ በይልኝ ??,0
ጦርነት ለእኛ ባህላዊ ጫወታ ነው እያልክ ስትቦተርፍ ከርመህ በስተመጨረሻ ባህላዊ የውሸት መፈልፈያ ቋት ሆነህ አረፍከው! ኩኩኒያም! የጠገበ ከርከሮ የነፍጠኛ,1
ትግሬውም አማራውም ኦሮሞውም.የክልሉን የመንግስት ጎጠኛ ካድሬ ተማምኖ ነው የሚጮኸው አዲሳቤ ቢጮህ ሪፕሊካን ነው በጥይት የሚያስጮኸው,1
የምትረዱነን እርዳታ አንፈልግም ካልን ግደታ ነውደ? በቃ ከድህነታችን ጋ ተውን!!!,0
የሚያዚያ 4 ዜናዎች - የአማራን የዘር ጭፍጨፋ የተቃውሞ ድምጽ በጀርመን via ,0
በዚህ ስራ ብዙ ሰይጣናትን ካስጮኸ አልበም ቢያወጣ እንደ አባ ግርማ ከአንድ ሰው ላይ በነፍስ ወከፍ ሶስት ሚሊዮን ሰይጣን ማውጣቱ አይቀርም:: #ሶስት,1
ሰበር ዜና የትግራይ መከላከያ ሰራዊት በፋሽሽት አብይ ቅጥረኛ ኃይል በወሰደው የመከላከል እርምጃ በአላማጣ ግምባር ብቻ ሁለት 2 ክፍለ ጦሮቸ ከነ ሜካናይዝድ ኃይላቸው ሙሉ በሙሉ,1
በአለም ላይ እንደ አረቦች አእምሮው የደነቆረ ድልብ ደነዝ ፍጥረት አታገኝም። የሚገርመው የጦር መሳሪያ ሰርተው ሳይሆን ገዝተው ነው ለአብይ እየሰጡ የጨፈጨፉን።,1
እራሱ እየገደለ መልሶ የሚያለቅስ አምባገነን፣ተስፋፊ ስግብግብ፣ ሁሉም የኔ የተጸናወተው ጋኔን,1
#አትፍረዱብን #አባቶቻችን_ኢትዮጵያዊነትን_እንጂ_ለጠላት_መንበርከክን_አላወረሱንም አሁንም የሐገሩን ሉዓላዊነትና ጥቅም አሳልፎ የሚሰጥ የለም!! ክብር ለኢትዮጵያዊነት!! ኢትዮጵያ በ,0
ብልጽግና ቢሸነፍም ቢያሸንፍም የማንነት ጥቃት በቀላል ይቆማል ብሎ ማሰብ ይቸግራል ። የተዘራው እስኪነቀል ። የካድሬዎች መረጋጋት አስፈላጊነቱ እንዳለ ሆኖ ።,0
ፈጣሪዬ ሆይ ኢትዮጵያን እንደ ማህበራዊ ሚዲያ ተጠቃሚዎች ምኞትና ሀሳብ ሳይሆን እንደ ምስኪኑና የዋሁ ገበሬ ቅንነት አኑራት!,0
ባንዳ ስለሆኑ ቅጭላት የላቸውማ አያስቡም ለሆዳቸው ብቻ ስለሚኖሩት ማንጨብጨብ ይወዳሉ ። እውነተኛ ታጋይ እንደ ትግራይ ከሆነ ግን ለሀገሩ እንጂ ለሆዱ አይኖርም ይሄ ነው ይዩነታችን ጆ,1
ሁሉንም የትግራይ ከተሞች ለመከላከያ አስረክቦ መቀሌን ብቻ ታቅፎ የቀረውን ደፂን ምን አሉት ? የመቀሌ ከተማ ጊዜያዊ ከንቲባ ??,1
ይመስገነው አለን???? ዋናው ኢትዮጵያችንን ለማንም ነጫጭባ አለማስነካት ነው::,1
ድርጊቶችዎ ውጤቶች አሉት። ከእነሱ መደበቅ አትችልም ፡፡ እርስዎ አስፈሪ የሆኑ ልጆች አሉዎት ፡፡ በጭራሽ ይቅር አይባልም ፡፡,0
አታስቢ የትግራይ ህዝብ እየመጣ እየነደደልሽ ነው እንኳን ደስ አለሽ ጭራቅ,1
ውሻ ብትለን ምን ይውጠን ነበር?????,1
ልደቱ አያሌውን በሐሳብ መሞገት ተስኗቸው ህወሃት ነው ገለመሌ እያሉ ከሚቦተረፉና በፊት በታዛዥነት አሁን ደግሞ በአዛዥነት በአገርና በህዝብ ላይ ወንጀል የሚሰራውን??የዘር ጨፍጫፊ ከሚደ,1
ጠላት ሁሉ በውጭም በውስጥም ኢትዮጵያ ስትበተን ለማየት አሰፍስፏል ሴራም ቀጥሏል። መከራ ይብቃ። የህዝባች ሰላምና እድገት የሚያሳስበን ሁሉ ለውስጥ አንድነታችን በርትተን በቅንነት እን,0
ሁሉም ዱቄት ሆኗል ?? ጉራ ብቻ።,1
ምድረ ደፋሪ ሌባ የአዞ እንባህን እዛው የትግራይን ህዝብ ከፈጃችሁ በሁዋላ የአማራን አስመሳይነት እዩ ጨካኞችና አውሬዎች ናችሁ ማንም አይፈልጋችሁም ሠይጣኖች,1
በጦርነቱ አካባቢ ቤተሰብ ቢኖራቹ ኖሮ ጭንቀቱን ታውቁት ነበር። ሰይጣን ሰው ነው ሲባል ውሸት ይመስለኝ ነበር ግን በወንድም በሴትም ተመስሎ ለካ ይመጣል።,1
ታላቁ ሩጫ ላይ ሃይሌ ገብረስላሴ የተናገረውን ቆራረጡና.ድምፁን በፎቶሾፕ.የ #አገኘው ተሻገር ድምፅ አስመስለው ሰሩትና ለቀቁት #ባጫ ደበሌ,0
በመከራ ሕይወት ይፈረድብዎታል እናም በሲኦል ውስጥ ይቃጠላሉ ፡፡ ሰይጣን ነፍስህን ያሳድዳል እናም ቀሪውን ዘላለማዊነት በሲኦል ውስጥ ታሳልፋለህ ፡፡ ሁሉም ሰይጣንን,1
ቱሪናፋ . አሁን አንትን ሰው ብለን ልናዳምጥህ ነው? አጨብጫቢ ሁላ . መጀመሪያ በግፍ ለሚገደለው #Ethiopia ያዊ አውራ ! አስመሳይ አሁን ከንዳንተ አይነቱ,1
ታድያ ምን አገናኘው ከሞቱ ጋር አይ ሰግብግቡ ጁንታ ጌታቸው አሰፋ አይ ደብረፅዮን ሳትገላቸው ወይ ሳትይዛቸው ወይሰ በነሱ እጂ ብትምት ይሻልህ ነበር ለማለት ነው እሰኪ የገባው ካለ,1
