preprocessed_text,label
እዚያው እየተላላክ ዳቦህን ብላ ሰፊ ካልክ ሀገር ቤት ሂደህ የወትሮ ስራህን አልሰራህ,1
የበረራ እቅድ አላ ልዟይተ ልካአ ህድቅእየ እያደረገልኝ ውወተ,0
የምን ጠላ ጠላ የምን ጠጅ ጠጅ ጠላትን መጋበዝ ቡን አርጎ ርእሰ ከተማዋ ሲዘልቁ ቡና እንጋብዛለን ለማለት,0
ይመስገን ዞላ ምርመራው አለበት,0
ያልተማረ ደደብ ፋሽስት ያንተው ቅል ራስ መለስ መሆኑን አለማወቅህ ያሳዝናል,1
አዴፓን አትመንየሴራው አካል ትኩረታቸው አሁንም ህወሀት የትግራይ ህዝብ ጉዳዩን አዙረው አክረው ህወሀት የማነጣጠር የወሬው ቅኝት,1
በማንነታቸው ተለይተው የተጨፈጨፉ አማሮችን ሽፋን ላለመስጠት ሴት ነብስ አተረፈች ብሎ ያዙኝ ልቀቁኝ ያሳዝናል አቁሙ ታስጠላላቹ ማፈሪያዎች ሞት ለህወሀት ሞት,1
ኢትዮጵያን የሚለው እርሶን ከጨመረ ቀጣይ መከራከር አያስፈልገንም ስለራስዎ መስክረዋል አይጨምርም ካሉ,0
አብረው ያለሙም ያጠፉም መሪዎቻችን ህዝብን በሁለት ጎራ አቧድነው እንዲህ አረመኔ አገር ሲያባሉት ትክክል ብለን የተሟገትን ማንኛችን ነን ከጥፋት ያላበረ በስ,0
እነዚህን ፀረ አማራና ኢትዮጵያ ሰዎች በብዛት እጩ ታደርግ መልካም ሰዎች ማጣፈጫ ጣል ታደርጋላችሁ ማንንም አትሸውድም ግደሉን ጨርሱን ኢትዮጵያ,1
በባለፈው ስብሰባችሁ በትግራይ ምስክኖች ስም ከተሰበሰበው ስንቱን ልትልኩ አሰባችሁ ሁሉንም ልትቀረጥፉት ለነገሩ ጁንታው ያስለመድከው,1
እረ እንቺ ሴትዮ ዝም ብለሽ የማንም ወያኔ የሚበጠረቀውን ውነት ይዘሽ አትጩሂ,1
የደብረፂን ንግግር ሰማሁት ኩርምት ብሏል ጋዜጠኞቹም ኩርምት ብለዋል በጠቅላላው ያች ጠባብ ኮንቴይነር ለቅሶ ቤት የምትመስለው,1
ጦርነት ማንም ሊጐዳ ይችላልተዉ ለምን አትሏቸዉም ጁንታዎቹን,1
እንደውም ተነስቼ ብተኛ ይሻለኛል የሚሉም አሉ አሉ,0
የቡብልፅግናን ስም ለማጥፋት ቅጥረኞች የሚተውኑት የባንዶች ሴራ ራስህ በጥላቻ ስሜትህ የፈጠርከው ውሸት,1
አባት ነህ አሉ ያውም የሶሰት ሴት አንዷን ለቁርስ አንዷን ለምሳ ለምን ጥሬ ቆልቶ በላ ለምን እሸት አበላን ብለው ሲያነዱት ከዳር ሁነህ በግዛ,1
በከተማ እሚኖረው ትልቁ አሳማ በጫካ እሚኖሩትን ትንንሽ አሳማ ዘመዶቹን ለመጠየቅ ሄደ እሚባለው ጅል,1
በየዋህ ልብ ካሰብክ መደበኛ ትምህርት መሆኑ የዋህነቴን ቆሌ ገፍፎታል,0
ቀን አለፋቸዉ በትግራይ ባዶ ስድስት እስር ቤት የታሸጉት የኢህአፓ አመራርና አባላት ፀጋዬ ገብረ መድህን ይስሀቅ ደብረፅዮን በለጠ አመሀ ስጦታው ሁሴን ኢንጅነር አይነኩሉ,0
ወያኔን የሚያጠፋው ደግሞ ኢትዮጵያን ነፃ ለማውጣት ጨምርበት መሊጦ,1
የመርህ ሰው ግራ የሚገባኝ ስህተት አለመቻሉ ትዝ ይለኛል ለምን እስክንድርን ተቸ ተብሎ መንጋው ሲወርድበት ስህተት እንደሆነ ለማወቅ አልቆየም,1
ክብር ይገባሀል መከላኪያችን ላገር ለወገንህ በደምህም አኮርራህን ሁሌም ላንረሳህ አለህ ከልባችን,0
መፍትሄው የሚከፈለውን ዋጋ ከፍሎ ወያኔን ላንዴና ለመጨረሻ ጊዜ መቃብር ማውረድ,1
ባልየው ቢሰማሽ ባለጌ ያን የመሰለ ኒፕል ይደረጋል ምናምን የሚልሽ,1
ዛሬም ነገም እስከወዳኛው ከመከላከያ ጎን ነን የከዳችሁት የኢትዮጵያ ጠላት ይውደም,0
ቱ ቅዱሳን ሊቃውንት ዛሬ ታስበው ስለሚውሉት ቅዱሳን ብለህ ሰላም_እና_ፍቅርን_አድለን አምላከ ቅዱሳን,0
ብትክዱትም የአለም ህዝብ ሳይሆን ጁንታው ያጠፋሀል ይገልሀል ብላችሁት የነበረው ህዝብ የአማራ ክልልን ጨምሮ እየመስከረላቸው ይገኛል የትግራይም ሀይል ለዚህ ሁ,1
ኢትዮጵያውያን ወገኖቼ እኮ ለወራሪወች ለገዳዮች ለከፋፋዮች እሳትና ሬት ለወዳጆቻችን ማርለጦርነትም አይበገሬ ነን አትጠራጠሩ ድል የመከላከያ ሰራዊት የአማራ ሀይል ሚሊሻና,0
ይመቸኛል ስትግጥ ሊጠብቅህ,0
አልደክምም ቃሌ እያልኩኝ ፎክሬ ያንን ጉራ ሁላ ያን ጉራ ቀን አራደው ዛሬ ያን ጉራ ሁላ ጉራ ሁላ ያን ጉራ ሁላ ትታ ነፍሴ ወኔዬ ከዳኝ ወንድነቴ ወድቆ ጨነቀኝ ኩራቴ,0
ሰው ለየት አስተያየት ካለው ሞኝ ማለት እንደዚያ የሚያስቡ ጉረኛን ከእኔ መገናኘትዎን እንዲያቆሙ እመክራለሁ,1
እንዳትቆም እዳትሰንፍ በርታ ዛሬ ባይሆንልም ቀን እደሆነ አትርሳ ማንም እዳይሳካል ቢመኝ ማንም ወዷላ ሊያስቀህ ቢፈልግ አታማርር በቀሎች የሚያረካው ስኬት ነውእና,0
እንጀራን መውደድ ይቻል ይሆን የትእዛዙ ክብደት እየታኝ,0
ማሀይም የምኒልክ ቡችላ ትግራዋይ ጅግና በድርቡ ቅዘን በቅዘን ሁነህ ላንተ ለማዳን ሴራኛው ምኒልክ ከሀላ ወጋው ትግራዋይ ጅግና ሀይለ,1
